Date 03/29/2019 11:42 AM,Account Rye Middle School Cafeteria,Item Pizza,Serving Period Lunch,Payment Type Prepay,Amount -$2.50,Balance $0.05 
Date 03/29/2019 11:42 AM,Account Rye Middle School Cafeteria,Item Snapple,Serving Period Lunch,Payment Type Prepay,Amount -$1.75,Balance $2.55 
Date 03/28/2019 11:47 AM,Account Rye Middle School Cafeteria,Item Grill $5.00,Serving Period Lunch,Payment Type Prepay,Amount -$5.00,Balance $4.30 
Date 03/28/2019 11:47 AM,Account Rye Middle School Cafeteria,Item Snapple,Serving Period Lunch,Payment Type Prepay,Amount -$1.75,Balance $9.30 
Date 03/26/2019 12:02 PM,Account Rye Middle School Cafeteria,Item Cookie,Serving Period Lunch,Payment Type Prepay,Amount -$0.75,Balance $11.05 
Date 03/21/2019 12:12 PM,Account Rye Middle School Cafeteria,Item Cookie,Serving Period Lunch,Payment Type Prepay,Amount -$0.75,Balance $11.80 
Date 03/20/2019 11:57 AM,Account Rye Middle School Cafeteria,Item Krispie Treat,Serving Period Lunch,Payment Type Prepay,Amount -$1.00,Balance $12.55 
Date 03/19/2019 11:52 AM,Account Rye Middle School Cafeteria,Item Cookie,Serving Period Lunch,Payment Type Prepay,Amount -$0.75,Balance $13.55 
Date 03/14/2019 12:05 PM,Account Rye Middle School Cafeteria,Item Cookie,Serving Period Lunch,Payment Type Prepay,Amount -$0.75,Balance $14.30 
Date 03/13/2019 12:01 PM,Account Rye Middle School Cafeteria,Item Cookie,Serving Period Lunch,Payment Type Prepay,Amount -$0.75,Balance $15.05 
Date 03/11/2019 11:54 AM,Account Rye Middle School Cafeteria,Item Cookie,Serving Period Lunch,Payment Type Prepay,Amount -$0.75,Balance $15.80 
Date 03/08/2019 11:51 AM,Account Rye High School Cafeteria,Item Cookie,Serving Period Lunch,Payment Type Prepay,Amount -$0.75,Balance $16.55 
Date 03/08/2019 11:38 AM,Account Rye High School Cafeteria,Item Pizza,Serving Period Lunch,Payment Type Prepay,Amount -$2.50,Balance $17.30 
Date 03/08/2019 11:38 AM,Account Rye High School Cafeteria,Item Snapple,Serving Period Lunch,Payment Type Prepay,Amount -$1.75,Balance $19.80 
Date 03/07/2019 12:00 PM,Account Rye High School Cafeteria,Item Cookie,Serving Period Lunch,Payment Type Prepay,Amount -$0.75,Balance $21.55 
Date 03/04/2019 12:40 PM,Account Rye High School Cafeteria,Item Oreo,Serving Period Lunch,Payment Type Prepay,Amount -$1.00,Balance $22.30 
Date 02/28/2019 02:41 PM,Account Rye High School Cafeteria,Item Krispie Treat,Serving Period Lunch,Payment Type Prepay,Amount -$1.00,Balance $23.30 
Date 02/27/2019 11:56 AM,Account Rye High School Cafeteria,Item Cookie,Serving Period Lunch,Payment Type Prepay,Amount -$0.75,Balance $24.30 
